1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
7	0	1
8	0	1
8	1	1
9	1	1
9	1	2
9	1	3
10	1	3
11	1	3
12	1	3
12	2	3
13	2	3
14	2	3
15	2	3
16	2	3
16	3	3
17	3	3
17	4	3
17	4	4
18	4	4
19	4	4
20	4	4
21	4	4
21	5	4
22	5	4
22	5	5
23	5	5
23	6	5
23	7	5
23	8	5
24	8	5
24	8	6
25	8	6
26	8	6
27	8	6
27	9	6
28	9	6
28	9	7
29	9	7
30	9	7
30	10	7
31	10	7
31	10	8
32	10	8
32	11	8
33	11	8
33	11	9
34	11	9
34	12	9
34	13	9
35	13	9
36	13	9
37	13	9
38	13	9
39	13	9
40	13	9
41	13	9
42	13	9
43	13	9
43	14	9
43	15	9
44	15	9
45	15	9
45	16	9
45	17	9
45	18	9
46	18	9
46	19	9
46	20	9
47	20	9
48	20	9
49	20	9
50	20	9
51	20	9
52	20	9
53	20	9
53	21	9
53	22	9
54	22	9
54	23	9
55	23	9
56	23	9
57	23	9
57	24	9
57	24	10
58	24	10
59	24	10
60	24	10
61	24	10
62	24	10
62	25	10
63	25	10
63	26	10
64	26	10
64	27	10
65	27	10
65	28	10
66	28	10
67	28	10
68	28	10
69	28	10
70	28	10
71	28	10
72	28	10
73	28	10
73	29	10
74	29	10
74	30	10
75	30	10
75	31	10
76	31	10
77	31	10
78	31	10
78	32	10
79	32	10
79	32	11
79	32	12
80	32	12
81	32	12
82	32	12
82	33	12
83	33	12
83	34	12
84	34	12
85	34	12
85	35	12
86	35	12
87	35	12
88	35	12
89	35	12
90	35	12
90	36	12
91	36	12
92	36	12
93	36	12
94	36	12
95	36	12
96	36	12
96	37	12
97	37	12
98	37	12
99	37	12
100	37	12
100	38	12
101	38	12
102	38	12
103	38	12
104	38	12
104	39	12
105	39	12
106	39	12
107	39	12
108	39	12
108	40	12
109	40	12
109	41	12
110	41	12
111	41	12
112	41	12
113	41	12
113	42	12
113	43	12
113	44	12
113	45	12
114	45	12
115	45	12
115	46	12
116	46	12
117	46	12
117	47	12
117	48	12
118	48	12
118	49	12
118	50	12
119	50	12
120	50	12
121	50	12
122	50	12
123	50	12
124	50	12
124	51	12
124	52	12
124	53	12
125	53	12
125	54	12
125	55	12
126	55	12
127	55	12
127	56	12
128	56	12
129	56	12
130	56	12
131	56	12
132	56	12
132	57	12
133	57	12
134	57	12
134	58	12
134	59	12
134	60	12
134	61	12
134	62	12
135	62	12
136	62	12
136	62	13
137	62	13
137	63	13
138	63	13
138	64	13
138	65	13
138	66	13
139	66	13
140	66	13
140	67	13
141	67	13
141	68	13
141	69	13
142	69	13
142	70	13
142	71	13
142	72	13
143	72	13
144	72	13
144	73	13
145	73	13
145	74	13
146	74	13
146	75	13
147	75	13
147	76	13
148	76	13
149	76	13
150	76	13
150	77	13
150	78	13
150	79	13
151	79	13
152	79	13
153	79	13
154	79	13
155	79	13
155	80	13
